Requirement,Feature,TestCaseIDs,Coverage
R1,Booking Creation,"TC001, TC002, TC003, TC004, TC005, TC006, TC007, TC008, TC030, TC031, TC032, TC033, TC034, TC064, TC068, TC069",100%
R2,Booking Update,"TC009, TC010, TC011, TC035, TC036, TC037, TC038, TC039",100%
R3,Booking Deletion,"TC012, TC013, TC039",100%
R4,API Authentication,"TC014, TC015, TC054, TC055, TC056",100%
R5,Form Validation,"TC002, TC003, TC018, TC019, TC020, TC045, TC066, TC068",90%
R6,Error Handling,"TC021, TC022, TC046, TC057, TC058",85%
R7,Data Consistency,"TC016, TC017, TC040, TC041, TC042",90%
R8,Security,"TC023, TC024, TC025, TC026, TC051, TC052, TC053",95%
R9,Booking List,"TC027, TC028, TC029, TC059, TC060, TC061, TC062, TC070, TC071, TC072, TC073",100%
R10,Boundary/Edge,"TC020, TC030, TC031, TC032, TC033, TC034, TC043, TC044, TC066",90%
